Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,fehérje,telített zsírsav,többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,rost,cukor,víz,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
burgonya,zöldségek,burgonyafélék,0.057,0.023,0.006,0.012,0.298,0.0121,0.0010609999999999999,0.0197,2.05,0.025,0.042,0.0008100000000000001,0.0003,0.00011,0.000153,4.0000000000000003e-07,2.1,0.82,79.25,8.1e-05,3.2e-05,0.00029499999999999996,1.5e-05,1e-05,,,0.002,1e-06,9e-06,2e-06,,,,,,,
vaj,tejtermékek,"vaj, vajkrém",0.024,0.002,0.011,0.024,0.003,0.0188,4.2000000000000004e-05,,0.85,50.489,3.01,2e-05,8.999999999999999e-05,1.6e-05,4e-06,1e-06,,0.06,16.17,5e-06,3.4e-05,0.00011,3e-06,0.00232,,1.7000000000000001e-07,23.43,0.000158,,7e-06,0.000684,,,,215.0,0.000671,
mangó,gyümölcsök,déli gyümölcs,0.014,0.01,0.001,0.011,0.119,0.0076,0.000669,0.0364,0.82,0.092,0.071,0.00016,8.999999999999999e-05,0.000111,6.3e-05,6e-07,1.6,13.66,83.46,2.8e-05,3.8e-05,0.00019700000000000002,4.3e-05,0.0009,,,0.14,0.00064,2.3e-05,4.2000000000000004e-06,5.4e-05,3e-06,9e-06,1e-05,,,
olívaolaj,zsiradékok,növényi eredetű zsiradék,,,0.002,0.001,,0.0003,,,0.0,13.808,10.523,0.0005600000000000001,,,,,,,,,,,,0.01435,,,72.961,,,6.02e-05,,,,,,,
csokoládé,édesítők,"cukorka, csokoládé",0.206,0.146,0.024,0.056,0.042,,0.000725,,4.88,18.519,1.092,0.00802,0.0020099999999999996,0.001028,0.0014190000000000001,3e-06,7.0,47.9,0.97,2.5e-05,5e-05,0.000297,,0.00054,,2.3000000000000002e-07,9.54,2.6e-05,3.1e-05,8.1e-06,2e-06,,7e-06,1e-06,8.0,,
bors,ízesítők,szárított fűszer,0.158,0.171,0.02,0.443,0.291,0.011300000000000001,0.001143,,10.39,1.392,0.998,0.009710000000000002,0.0011899999999999999,0.00133,0.012753,4.9000000000000005e-06,25.3,0.64,12.46,0.000108,0.00017999999999999998,0.001399,1.7e-05,0.0010400000000000001,,,0.739,0.00031,0.000454,0.0001637,2.7e-05,2e-05,1.2e-05,2.5e-05,,,
kakukkfű,ízesítők,friss fűszernövény,0.106,0.16,0.009,0.405,0.348,,0.001824,0.1601,5.56,0.467,0.532,0.01745,0.00181,0.000555,0.001719,,14.0,,65.11,4.8e-05,0.00047099999999999996,0.00040899999999999997,4.5e-05,,,,0.081,0.002851,,,0.000238,,,,,,
sajt,tejtermékek,sajtok,0.36,0.024,0.534,0.65,0.053,0.0154,5.9999999999999995e-05,,23.78,16.691,0.729,0.00043,0.0026,2.2e-05,1.1e-05,1.45e-05,,0.57,45.45,1.4e-05,0.00023999999999999998,0.00020999999999999998,1.8e-05,0.00023999999999999998,2.1e-05,1.5e-06,9.338,2.9e-05,,2.4e-06,0.000315,,,,123.0,0.000313,
finomliszt,gabonaipari termékek,lisztek,0.108,0.022,0.002,0.015,0.044,0.0104,0.00125,,10.33,0.155,0.413,0.00117,0.0007,0.00014399999999999998,0.0006820000000000001,3.39e-05,2.7,0.27,11.92,0.00011999999999999999,4e-05,0.000438,2.6e-05,5.9999999999999995e-05,,,0.087,,1.8e-05,3e-07,,,,,,,
cukor,édesítők,cukrok,,,0.001,0.001,,,,,0.0,,,5e-05,1e-05,7e-06,4e-06,6e-07,,99.8,0.02,,1.9e-05,,,,,,,,,,,,,,,,
